NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvthetaw with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvthetaw with min-max learning rates 0.0001 to 0.0005, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.30 MBs,
 --- Num params: 37.812 mil. 
Epoch 122, 122/150, training mseloss: 0.110329, testing mseloss: 0.132565
Epoch 123, 123/150, training mseloss: 0.110311, testing mseloss: 0.129736
Epoch 124, 124/150, training mseloss: 0.110098, testing mseloss: 0.132920
Epoch 125, 125/150, training mseloss: 0.110200, testing mseloss: 0.130371
Epoch 126, 126/150, training mseloss: 0.109973, testing mseloss: 0.137262
Epoch 127, 127/150, training mseloss: 0.110062, testing mseloss: 0.131098
Epoch 128, 128/150, training mseloss: 0.109946, testing mseloss: 0.133265
Epoch 129, 129/150, training mseloss: 0.109800, testing mseloss: 0.130967
Epoch 130, 130/150, training mseloss: 0.109864, testing mseloss: 0.131004
Epoch 131, 131/150, training mseloss: 0.109620, testing mseloss: 0.133432
Epoch 132, 132/150, training mseloss: 0.109750, testing mseloss: 0.129548
Epoch 133, 133/150, training mseloss: 0.109526, testing mseloss: 0.135645
Epoch 134, 134/150, training mseloss: 0.109531, testing mseloss: 0.129194
Epoch 135, 135/150, training mseloss: 0.109509, testing mseloss: 0.130871
Epoch 136, 136/150, training mseloss: 0.109316, testing mseloss: 0.132352
Epoch 137, 137/150, training mseloss: 0.109433, testing mseloss: 0.133331
Epoch 138, 138/150, training mseloss: 0.109217, testing mseloss: 0.126308
Epoch 139, 139/150, training mseloss: 0.109263, testing mseloss: 0.131419
Epoch 140, 140/150, training mseloss: 0.109206, testing mseloss: 0.131079
Epoch 141, 141/150, training mseloss: 0.109067, testing mseloss: 0.128714
Epoch 142, 142/150, training mseloss: 0.109088, testing mseloss: 0.130462
Epoch 143, 143/150, training mseloss: 0.108908, testing mseloss: 0.129192
Epoch 144, 144/150, training mseloss: 0.109015, testing mseloss: 0.130360
Epoch 145, 145/150, training mseloss: 0.108828, testing mseloss: 0.128962
Epoch 146, 146/150, training mseloss: 0.108867, testing mseloss: 0.128366
Epoch 147, 147/150, training mseloss: 0.108841, testing mseloss: 0.132862
Epoch 148, 148/150, training mseloss: 0.108646, testing mseloss: 0.128787
Epoch 149, 149/150, training mseloss: 0.108726, testing mseloss: 0.130347
Epoch 150, 150/150, training mseloss: 0.108486, testing mseloss: 0.126747
Model training complete
