NGPUS = 1
Training the global horizontal and global vertical model with features uvtheta with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and global vertical model, with features uvtheta with min-max learning rates 0.0001 to 0.0005, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.61 MBs,
 --- Num params: 37.893 mil. 
Epoch 109, 109/150, training mseloss: 0.373080, testing mseloss: 0.451066
Epoch 110, 110/150, training mseloss: 0.372706, testing mseloss: 0.448086
Epoch 111, 111/150, training mseloss: 0.372804, testing mseloss: 0.445568
Epoch 112, 112/150, training mseloss: 0.372183, testing mseloss: 0.440872
Epoch 113, 113/150, training mseloss: 0.372304, testing mseloss: 0.452091
Epoch 114, 114/150, training mseloss: 0.371844, testing mseloss: 0.451052
Epoch 115, 115/150, training mseloss: 0.371699, testing mseloss: 0.446417
Epoch 116, 116/150, training mseloss: 0.371636, testing mseloss: 0.450121
Epoch 117, 117/150, training mseloss: 0.371188, testing mseloss: 0.442663
Epoch 118, 118/150, training mseloss: 0.371301, testing mseloss: 0.450694
Epoch 119, 119/150, training mseloss: 0.370689, testing mseloss: 0.442043
Epoch 120, 120/150, training mseloss: 0.370764, testing mseloss: 0.447838
Epoch 121, 121/150, training mseloss: 0.370433, testing mseloss: 0.451984
Epoch 122, 122/150, training mseloss: 0.370188, testing mseloss: 0.449312
Epoch 123, 123/150, training mseloss: 0.370177, testing mseloss: 0.446787
Epoch 124, 124/150, training mseloss: 0.369616, testing mseloss: 0.443929
Epoch 125, 125/150, training mseloss: 0.369808, testing mseloss: 0.450300
Epoch 126, 126/150, training mseloss: 0.369283, testing mseloss: 0.451707
Epoch 127, 127/150, training mseloss: 0.369369, testing mseloss: 0.446968
Epoch 128, 128/150, training mseloss: 0.369160, testing mseloss: 0.451869
Epoch 129, 129/150, training mseloss: 0.368723, testing mseloss: 0.447876
Epoch 130, 130/150, training mseloss: 0.368830, testing mseloss: 0.449628
Epoch 131, 131/150, training mseloss: 0.368255, testing mseloss: 0.444717
Epoch 132, 132/150, training mseloss: 0.368383, testing mseloss: 0.450077
Epoch 133, 133/150, training mseloss: 0.368029, testing mseloss: 0.459117
Epoch 134, 134/150, training mseloss: 0.367786, testing mseloss: 0.447778
Epoch 135, 135/150, training mseloss: 0.367725, testing mseloss: 0.454664
Epoch 136, 136/150, training mseloss: 0.367291, testing mseloss: 0.447527
Epoch 137, 137/150, training mseloss: 0.367491, testing mseloss: 0.454586
Epoch 138, 138/150, training mseloss: 0.367008, testing mseloss: 0.448691
Epoch 139, 139/150, training mseloss: 0.367071, testing mseloss: 0.447780
Epoch 140, 140/150, training mseloss: 0.366853, testing mseloss: 0.457366
Epoch 141, 141/150, training mseloss: 0.366589, testing mseloss: 0.447965
Epoch 142, 142/150, training mseloss: 0.366697, testing mseloss: 0.455008
Epoch 143, 143/150, training mseloss: 0.366106, testing mseloss: 0.449923
Epoch 144, 144/150, training mseloss: 0.366312, testing mseloss: 0.459895
Epoch 145, 145/150, training mseloss: 0.365840, testing mseloss: 0.453539
Epoch 146, 146/150, training mseloss: 0.365775, testing mseloss: 0.447260
Epoch 147, 147/150, training mseloss: 0.365692, testing mseloss: 0.452629
Epoch 148, 148/150, training mseloss: 0.365311, testing mseloss: 0.446975
Epoch 149, 149/150, training mseloss: 0.365561, testing mseloss: 0.455968
Epoch 150, 150/150, training mseloss: 0.365041, testing mseloss: 0.446458
Model training complete
