NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvtheta with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvtheta with min-max learning rates 0.0001 to 0.0005, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.17 MBs,
 --- Num params: 37.777 mil. 
Epoch 107, 107/150, training mseloss: 0.133221, testing mseloss: 0.155971
Epoch 108, 108/150, training mseloss: 0.133217, testing mseloss: 0.153970
Epoch 109, 109/150, training mseloss: 0.133004, testing mseloss: 0.162756
Epoch 110, 110/150, training mseloss: 0.132904, testing mseloss: 0.153636
Epoch 111, 111/150, training mseloss: 0.132869, testing mseloss: 0.156082
Epoch 112, 112/150, training mseloss: 0.132546, testing mseloss: 0.163025
Epoch 113, 113/150, training mseloss: 0.132567, testing mseloss: 0.157071
Epoch 114, 114/150, training mseloss: 0.132352, testing mseloss: 0.158813
Epoch 115, 115/150, training mseloss: 0.132373, testing mseloss: 0.152514
Epoch 116, 116/150, training mseloss: 0.132246, testing mseloss: 0.159499
Epoch 117, 117/150, training mseloss: 0.132012, testing mseloss: 0.161362
Epoch 118, 118/150, training mseloss: 0.132035, testing mseloss: 0.160707
Epoch 119, 119/150, training mseloss: 0.131746, testing mseloss: 0.152706
Epoch 120, 120/150, training mseloss: 0.131817, testing mseloss: 0.155139
Epoch 121, 121/150, training mseloss: 0.131630, testing mseloss: 0.162706
Epoch 122, 122/150, training mseloss: 0.131560, testing mseloss: 0.152123
Epoch 123, 123/150, training mseloss: 0.131527, testing mseloss: 0.159489
Epoch 124, 124/150, training mseloss: 0.131257, testing mseloss: 0.157855
Epoch 125, 125/150, training mseloss: 0.131352, testing mseloss: 0.160066
Epoch 126, 126/150, training mseloss: 0.131096, testing mseloss: 0.156078
Epoch 127, 127/150, training mseloss: 0.131141, testing mseloss: 0.155190
Epoch 128, 128/150, training mseloss: 0.131035, testing mseloss: 0.161233
Epoch 129, 129/150, training mseloss: 0.130859, testing mseloss: 0.152507
Epoch 130, 130/150, training mseloss: 0.130900, testing mseloss: 0.160237
Epoch 131, 131/150, training mseloss: 0.130638, testing mseloss: 0.151815
Epoch 132, 132/150, training mseloss: 0.130709, testing mseloss: 0.155773
Epoch 133, 133/150, training mseloss: 0.130481, testing mseloss: 0.167622
Epoch 134, 134/150, training mseloss: 0.130466, testing mseloss: 0.152966
Epoch 135, 135/150, training mseloss: 0.130449, testing mseloss: 0.155799
Epoch 136, 136/150, training mseloss: 0.130218, testing mseloss: 0.152362
Epoch 137, 137/150, training mseloss: 0.130287, testing mseloss: 0.154845
Epoch 138, 138/150, training mseloss: 0.130047, testing mseloss: 0.161174
Epoch 139, 139/150, training mseloss: 0.130071, testing mseloss: 0.154478
Epoch 140, 140/150, training mseloss: 0.129952, testing mseloss: 0.169119
Epoch 141, 141/150, training mseloss: 0.129832, testing mseloss: 0.165607
Epoch 142, 142/150, training mseloss: 0.129875, testing mseloss: 0.158241
Epoch 143, 143/150, training mseloss: 0.129608, testing mseloss: 0.155063
Epoch 144, 144/150, training mseloss: 0.129692, testing mseloss: 0.157527
Epoch 145, 145/150, training mseloss: 0.129515, testing mseloss: 0.168999
Epoch 146, 146/150, training mseloss: 0.129511, testing mseloss: 0.156642
Epoch 147, 147/150, training mseloss: 0.129462, testing mseloss: 0.164232
Epoch 148, 148/150, training mseloss: 0.129284, testing mseloss: 0.163622
Epoch 149, 149/150, training mseloss: 0.129335, testing mseloss: 0.161539
Epoch 150, 150/150, training mseloss: 0.129110, testing mseloss: 0.157374
Model training complete
