NGPUS = 1
Training the global horizontal and global vertical model with features uvthetaw with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and global vertical model, with features uvthetaw with min-max learning rates 0.0001 to 0.0005, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.88 MBs,
 --- Num params: 37.963 mil. 
Epoch 112, 112/150, training mseloss: 0.303244, testing mseloss: 0.371763
Epoch 113, 113/150, training mseloss: 0.303223, testing mseloss: 0.380897
Epoch 114, 114/150, training mseloss: 0.302923, testing mseloss: 0.373898
Epoch 115, 115/150, training mseloss: 0.302766, testing mseloss: 0.379470
Epoch 116, 116/150, training mseloss: 0.302706, testing mseloss: 0.380260
Epoch 117, 117/150, training mseloss: 0.302296, testing mseloss: 0.375124
Epoch 118, 118/150, training mseloss: 0.302360, testing mseloss: 0.385041
Epoch 119, 119/150, training mseloss: 0.301929, testing mseloss: 0.367959
Epoch 120, 120/150, training mseloss: 0.302002, testing mseloss: 0.380916
Epoch 121, 121/150, training mseloss: 0.301764, testing mseloss: 0.379779
Epoch 122, 122/150, training mseloss: 0.301472, testing mseloss: 0.382674
Epoch 123, 123/150, training mseloss: 0.301363, testing mseloss: 0.384736
Epoch 124, 124/150, training mseloss: 0.300928, testing mseloss: 0.373357
Epoch 125, 125/150, training mseloss: 0.301016, testing mseloss: 0.388399
Epoch 126, 126/150, training mseloss: 0.300628, testing mseloss: 0.371351
Epoch 127, 127/150, training mseloss: 0.300506, testing mseloss: 0.381778
Epoch 128, 128/150, training mseloss: 0.300473, testing mseloss: 0.379109
Epoch 129, 129/150, training mseloss: 0.300116, testing mseloss: 0.376877
Epoch 130, 130/150, training mseloss: 0.300197, testing mseloss: 0.383734
Epoch 131, 131/150, training mseloss: 0.299759, testing mseloss: 0.368834
Epoch 132, 132/150, training mseloss: 0.299802, testing mseloss: 0.381988
Epoch 133, 133/150, training mseloss: 0.299535, testing mseloss: 0.374210
Epoch 134, 134/150, training mseloss: 0.299292, testing mseloss: 0.379707
Epoch 135, 135/150, training mseloss: 0.299318, testing mseloss: 0.377962
Epoch 136, 136/150, training mseloss: 0.298901, testing mseloss: 0.374830
Epoch 137, 137/150, training mseloss: 0.299002, testing mseloss: 0.382306
Epoch 138, 138/150, training mseloss: 0.298659, testing mseloss: 0.370369
Epoch 139, 139/150, training mseloss: 0.298644, testing mseloss: 0.379149
Epoch 140, 140/150, training mseloss: 0.298421, testing mseloss: 0.381451
Epoch 141, 141/150, training mseloss: 0.298124, testing mseloss: 0.376918
Epoch 142, 142/150, training mseloss: 0.298194, testing mseloss: 0.388348
Epoch 143, 143/150, training mseloss: 0.297827, testing mseloss: 0.373011
Epoch 144, 144/150, training mseloss: 0.297850, testing mseloss: 0.385832
Epoch 145, 145/150, training mseloss: 0.297514, testing mseloss: 0.371060
Epoch 146, 146/150, training mseloss: 0.297490, testing mseloss: 0.382734
Epoch 147, 147/150, training mseloss: 0.297445, testing mseloss: 0.378730
Epoch 148, 148/150, training mseloss: 0.297052, testing mseloss: 0.375972
Epoch 149, 149/150, training mseloss: 0.297103, testing mseloss: 0.381189
Epoch 150, 150/150, training mseloss: 0.296725, testing mseloss: 0.369415
Model training complete
